id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET010308,Adigrat town,Adigrat town,adigrat-town,ET010308,14.275,39.466
ET010316,Agulae,Agulae,agulae,ET010316,13.677,39.677
ET010307,Atsbi,Atsbi,atsbi,ET010307,13.921,39.749
ET010315,Atsbi town,Atsbi town,atsbi-town,ET010315,13.868,39.737
ET010310,Bizet,Bizet,bizet,ET010310,14.269,39.29
ET010311,Edaga Hamus town,Edaga Hamus town,edaga-hamus-town,ET010311,14.186,39.562
ET010302,Erob,Erob,erob,ET010302,14.491,39.677
ET010313,Freweyni town,Freweyni town,freweyni-town,ET010313,14.054,39.576
ET010304,Ganta Afeshum,Ganta Afeshum,ganta-afeshum,ET010304,14.231,39.423
ET010317,Geraleta,Geraleta,geraleta,ET010317,13.766,39.304
ET010301,Gulo Mekeda,Gulo Mekeda,gulo-mekeda,ET010301,14.414,39.4
ET010305,Hawzen,Hawzen,hawzen,ET010305,14.001,39.372
ET010312,Hawzen town,Hawzen town,hawzen-town,ET010312,13.974,39.43
ET010306,Kilte Awulaelo,Kilte Awulaelo,kilte-awulaelo,ET010306,13.837,39.532
ET010303,Sebuha Saesie,Sebuha Saesie,sebuha-saesie,ET010303,14.266,39.628
ET010314,Tsaeda Emba,Tsaeda Emba,tsaeda-emba,ET010314,14.067,39.646
ET010309,Wukro town,Wukro town,wukro-town,ET010309,13.781,39.591
ET010318,Zala Anbesa town,Zala Anbesa town,zala-anbesa-town,ET010318,14.525,39.387
