id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET030313,Angot,Angot,angot,ET030313,11.841,39.277
ET030301,Bugna,Bugna,bugna,ET030301,12.171,38.717
ET030311,Dawunt,Dawunt,dawunt,ET030311,11.474,38.839
ET030314,Filakit town,Filakit town,filakit-town,ET030314,11.763,38.742
ET030315,Gashena town,Gashena town,gashena-town,ET030315,11.668,38.913
ET030312,Gazo,Gazo,gazo,ET030312,11.822,39.038
ET030303,Gidan,Gidan,gidan,ET030303,12.056,39.325
ET030307,Guba Lafto,Guba Lafto,guba-lafto,ET030307,11.783,39.516
ET030308,Habru,Habru,habru,ET030308,11.671,39.761
ET030306,Hara town,Hara town,hara-town,ET030306,11.841,39.743
ET030399,Kobo town,Kobo town,kobo-town,ET030399,12.151,39.634
ET030398,Lalibela town,Lalibela town,lalibela-town,ET030398,12.029,39.046
ET030310,Lasta,Lasta,lasta,ET030310,11.992,38.935
ET030304,Meket,Meket,meket,ET030304,11.842,38.822
ET030397,Mersa town,Mersa town,mersa-town,ET030397,11.664,39.659
ET030302,Raya Kobo,Raya Kobo,raya-kobo,ET030302,12.007,39.624
ET030305,Wadla,Wadla,wadla,ET030305,11.624,39.004
ET030309,Woldiya town,Woldiya town,woldiya-town,ET030309,11.823,39.594
