id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET070309,Adilo,Adilo,adilo,ET070309,7.239,37.977
ET070302,Angacha,Angacha,angacha,ET070302,7.359,37.861
ET070307,Damboya,Damboya,damboya,ET070307,7.358,37.957
ET070306,Doyogena,Doyogena,doyogena,ET070306,7.387,37.806
ET070308,Durame town,Durame town,durame-town,ET070308,7.242,37.897
ET070312,Hadero town,Hadero town,hadero-town,ET070312,7.193,37.663
ET070305,Hadero Tunto,Hadero Tunto,hadero-tunto,ET070305,7.236,37.656
ET070304,Kacha Bira,Kacha Bira,kacha-bira,ET070304,7.236,37.742
ET070303,Kediada Gambela,Kediada Gambela,kediada-gambela,ET070303,7.254,37.927
ET070310,Shinshincho town,Shinshincho town,shinshincho-town,ET070310,7.204,37.777
