id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET030710,Bure (AM),Bure (AM),bure-am,ET030710,10.542,37.049
ET030798,Bure town,Bure town,bure-town,ET030798,10.706,37.065
ET030707,Dega Damot,Dega Damot,dega-damot,ET030707,10.862,37.615
ET030708,Dembecha,Dembecha,dembecha,ET030708,10.554,37.376
ET030717,Denbecha town,Denbecha town,denbecha-town,ET030717,10.566,37.491
ET030714,Finote Selam town,Finote Selam town,finote-selam-town,ET030714,10.685,37.263
ET030709,Jabi Tehnan,Jabi Tehnan,jabi-tehnan,ET030709,10.62,37.297
ET030720,Jiga town,Jiga town,jiga-town,ET030720,10.675,37.374
ET030706,Quarit,Quarit,quarit,ET030706,10.975,37.442
ET030705,Sekela,Sekela,sekela,ET030705,11.001,37.209
ET030716,Shendi town,Shendi town,shendi-town,ET030716,10.641,36.946
ET030711,Wemberma,Wemberma,wemberma,ET030711,10.518,36.889
