id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET050807,Barey,Barey,barey,ET050807,4.702,42.699
ET050802,Charati,Charati,charati,ET050802,5.298,41.678
ET050808,Dolobay,Dolobay,dolobay,ET050808,4.488,42.099
ET050804,Elkare /Serer,Elkare /Serer,elkare-serer,ET050804,5.951,42.079
ET050899,God-God,God-God,god-god,ET050899,4.858,43.242
ET050806,Hargele,Hargele,hargele,ET050806,5.31,42.464
ET050898,Kohle /Qoxle,Kohle /Qoxle,kohle-qoxle,ET050898,5.309,43.126
ET050809,Raso,Raso,raso,ET050809,6.509,41.904
ET050805,West Imi,West Imi,west-imi,ET050805,6.24,42.286
