id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET030599,Aleme Ketma town,Aleme Ketma town,aleme-ketma-town,ET030599,10.057,38.998
ET030513,Angolelana Tera,Angolelana Tera,angolelana-tera,ET030513,9.488,39.545
ET030515,Ankober,Ankober,ankober,ET030515,9.558,39.777
ET030507,Antsokiya,Antsokiya,antsokiya,ET030507,10.602,39.804
ET030525,Arerti town,Arerti town,arerti-town,ET030525,8.928,39.424
ET030514,Assagirt,Assagirt,assagirt,ET030514,9.379,39.624
ET030598,Ataye town,Ataye town,ataye-town,ET030598,10.354,39.965
ET030519,Basona Worena,Basona Worena,basona-worena,ET030519,9.731,39.626
ET030517,Berehet,Berehet,berehet,ET030517,9.188,39.685
ET030520,Debre Berhan town,Debre Berhan town,debre-berhan-town,ET030520,9.664,39.526
ET030527,Debre Sina town,Debre Sina town,debre-sina-town,ET030527,9.848,39.761
ET030508,Eferatana Gidem,Eferatana Gidem,eferatana-gidem,ET030508,10.313,39.886
ET030528,Enewari town,Enewari town,enewari-town,ET030528,9.893,39.147
ET030503,Ensaro,Ensaro,ensaro,ET030503,9.829,38.907
ET030506,Gishe Rabel,Gishe Rabel,gishe-rabel,ET030506,10.58,39.601
ET030516,Hagere Mariam,Hagere Mariam,hagere-mariam,ET030516,9.189,39.397
ET030512,Kewet,Kewet,kewet,ET030512,10.068,39.823
ET030597,Mehal Meda town,Mehal Meda town,mehal-meda-town,ET030597,10.312,39.659
ET030505,Menze Gera Midir,Menze Gera Midir,menze-gera-midir,ET030505,10.393,39.722
ET030521,Menze Keya Gabriel,Menze Keya Gabriel,menze-keya-gabriel,ET030521,10.182,39.367
ET030522,Menze Lalo Midir,Menze Lalo Midir,menze-lalo-midir,ET030522,10.132,39.515
ET030509,Menze Mama Midir,Menze Mama Midir,menze-mama-midir,ET030509,10.074,39.591
ET030502,Merhabete,Merhabete,merhabete,ET030502,10.094,39.124
ET030501,Mida Woremo,Mida Woremo,mida-woremo,ET030501,10.246,39.008
ET030518,Minjar Shenkora,Minjar Shenkora,minjar-shenkora,ET030518,8.92,39.513
ET030511,Mojan Wedera,Mojan Wedera,mojan-wedera,ET030511,9.928,39.53
ET030526,Molale town,Molale town,molale-town,ET030526,10.121,39.662
ET030504,Moretna Jiru,Moretna Jiru,moretna-jiru,ET030504,9.943,39.154
ET030595,Shoa Robit,Shoa Robit,shoa-robit,ET030595,10.007,39.906
ET030523,Siya Debirna Wayu,Siya Debirna Wayu,siya-debirna-wayu,ET030523,9.769,39.191
ET030510,Tarema Ber,Tarema Ber,tarema-ber,ET030510,9.865,39.82
ET030524,Tulefa town,Tulefa town,tulefa-town,ET030524,9.242,39.223
