id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET040311,Ale,Ale,ale,ET040311,8.122,35.518
ET040302,Alge Sachi,Alge Sachi,alge-sachi,ET040302,8.594,35.78
ET040314,Becho (Ilu Aba Bora),Becho (Ilu Aba Bora),becho-ilu-aba-bora,ET040314,8.091,35.71
ET040315,Bilo Nopha,Bilo Nopha,bilo-nopha,ET040315,8.43,35.53
ET040312,Bure (OR),Bure (OR),bure-or,ET040312,8.328,35.128
ET040301,Darimu,Darimu,darimu,ET040301,8.619,35.378
ET040317,Didu,Didu,didu,ET040317,7.937,35.545
ET040324,Dorani,Dorani,dorani,ET040324,8.449,35.82
ET040319,Halu /Huka,Halu /Huka,halu-huka,ET040319,8.182,35.348
ET040316,Hurumu,Hurumu,hurumu,ET040316,8.147,35.855
ET040320,Metu town,Metu town,metu-town,ET040320,8.307,35.579
ET040310,Metu Zuria,Metu Zuria,metu-zuria,ET040310,8.353,35.422
ET040313,Sale Nono,Sale Nono,sale-nono,ET040313,7.889,35.188
ET040309,Yayu,Yayu,yayu,ET040309,8.272,35.939
