id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET041004,Babile (OR),Babile (OR),babile-or,ET041004,8.748,42.571
ET041000,Babile town,Babile town,babile-town,ET041000,9.224,42.333
ET041013,Bedeno,Bedeno,bedeno,ET041013,9.064,41.639
ET041015,Chinaksen,Chinaksen,chinaksen,ET041015,9.599,42.57
ET041011,Deder,Deder,deder,ET041011,9.215,41.437
ET041097,Deder town,Deder town,deder-town,ET041097,9.309,41.437
ET041005,Fedis,Fedis,fedis,ET041005,9.064,42.127
ET041016,Girawa,Girawa,girawa,ET041016,9.029,41.866
ET041017,Golo Oda,Golo Oda,golo-oda,ET041017,8.758,41.631
ET041010,Goro Gutu,Goro Gutu,goro-gutu,ET041010,9.407,41.339
ET041089,Goro Muti,Goro Muti,goro-muti,ET041089,9.216,41.557
ET041003,Gursum (OR),Gursum (OR),gursum-or,ET041003,9.316,42.448
ET041006,Haro Maya,Haro Maya,haro-maya,ET041006,9.271,41.973
ET041002,Jarso (East Hararge),Jarso (East Hararge),jarso-east-hararge,ET041002,9.554,42.291
ET041008,Kersa (East Hararge),Kersa (East Hararge),kersa-east-hararge,ET041008,9.381,41.8
ET041001,Kombolcha,Kombolcha,kombolcha,ET041001,9.472,42.153
ET041098,Kumbi,Kumbi,kumbi,ET041098,7.929,41.718
ET041007,Kurfa Chele,Kurfa Chele,kurfa-chele,ET041007,9.23,41.872
ET041019,Maya town,Maya town,maya-town,ET041019,9.407,42.003
ET041020,Mekanisa Oromo,Mekanisa Oromo,mekanisa-oromo,ET041020,9.624,42.847
ET041012,Melka Balo,Melka Balo,melka-balo,ET041012,8.897,41.328
ET041009,Meta,Meta,meta,ET041009,9.404,41.61
ET041018,Meyu Muleke,Meyu Muleke,meyu-muleke,ET041018,8.502,41.883
ET041014,Midhaga Tola,Midhaga Tola,midhaga-tola,ET041014,8.758,42.206
