id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET041807,Anfilo,Anfilo,anfilo,ET041807,8.603,34.526
ET041808,Dale Sadi,Dale Sadi,dale-sadi,ET041808,8.931,35.201
ET041803,Dale Wabera,Dale Wabera,dale-wabera,ET041803,9.025,35.061
ET041806,Denbi Dollo town,Denbi Dollo town,denbi-dollo-town,ET041806,8.533,34.801
ET041804,Gawo Kebe,Gawo Kebe,gawo-kebe,ET041804,9.148,34.934
ET041809,Gidami,Gidami,gidami,ET041809,8.853,34.422
ET041801,Hawa Galan,Hawa Galan,hawa-galan,ET041801,8.627,34.992
ET041810,Jimma Horo,Jimma Horo,jimma-horo,ET041810,9.015,34.758
ET041811,Lalo Kile,Lalo Kile,lalo-kile,ET041811,8.863,35.331
ET041805,Sayo,Sayo,sayo,ET041805,8.442,34.821
ET041812,Sedi Chenka,Sedi Chenka,sedi-chenka,ET041812,8.796,35.088
ET041802,Yama Logi Welel,Yama Logi Welel,yama-logi-welel,ET041802,8.807,34.859
