id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET040706,Ada'a,Ada'a,adaa,ET040706,8.843,39.092
ET040703,Adama,Adama,adama,ET040703,8.317,39.213
ET040714,Adama town,Adama town,adama-town,ET040714,8.491,39.279
ET040708,Adama Tulu Jido Kombolcha,Adama Tulu Jido Kombolcha,adama-tulu-jido-kombolcha,ET040708,7.757,38.659
ET040712,Akaki,Akaki,akaki,ET040712,8.68,38.768
ET040798,Batu town,Batu town,batu-town,ET040798,7.924,38.699
ET040709,Bishoftu town,Bishoftu town,bishoftu-town,ET040709,8.756,38.959
ET040710,Bora (OR),Bora (OR),bora-or,ET040710,8.314,38.925
ET040702,Boset,Boset,boset,ET040702,8.642,39.545
ET040707,Dugda,Dugda,dugda,ET040707,8.177,38.765
ET040701,Fentale,Fentale,fentale,ET040701,8.919,39.879
ET040705,Gimbichu,Gimbichu,gimbichu,ET040705,8.999,39.188
ET040711,Liben Chukala,Liben Chukala,liben-chukala,ET040711,8.504,38.889
ET040704,Lome (OR),Lome (OR),lome-or,ET040704,8.617,39.209
ET040799,Metehara town,Metehara town,metehara-town,ET040799,8.898,39.921
ET040797,Mojo town,Mojo town,mojo-town,ET040797,8.589,39.123
