id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET041621,Bedele town,Bedele town,bedele-town,ET041621,8.452,36.349
ET041622,Bedele Zuria,Bedele Zuria,bedele-zuria,ET041622,8.497,36.405
ET041607,Borecha,Borecha,borecha,ET041607,8.307,36.652
ET041603,Chora (Buno Bedele),Chora (Buno Bedele),chora-buno-bedele,ET041603,8.391,36.139
ET041623,Chwaka,Chwaka,chwaka,ET041623,8.892,36.134
ET041605,Dabo Hana,Dabo Hana,dabo-hana,ET041605,8.706,36.289
ET041608,Dedesa,Dedesa,dedesa,ET041608,8.132,36.539
ET041604,Dega,Dega,dega,ET041604,8.597,36.137
ET041606,Gechi,Gechi,gechi,ET041606,8.364,36.481
ET041618,Meko,Meko,meko,ET041618,8.737,35.996
