id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET160507,Aroresa,Aroresa,aroresa,ET160507,6.355,39.012
ET160503,Bensa,Bensa,bensa,ET160503,6.534,38.863
ET160502,Bona Zuria,Bona Zuria,bona-zuria,ET160502,6.502,38.712
ET160501,Bura,Bura,bura,ET160501,6.627,38.854
ET160509,Chabe Gambeltu,Chabe Gambeltu,chabe-gambeltu,ET160509,6.428,38.855
ET160506,Chire,Chire,chire,ET160506,6.492,39.06
ET160505,Daella,Daella,daella,ET160505,6.514,38.976
ET160504,Daye town,Daye town,daye-town,ET160504,6.521,38.827
ET160508,Hokko,Hokko,hokko,ET160508,6.222,38.982
