id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET041710,Adaba,Adaba,adaba,ET041710,6.989,39.53
ET041703,Arsi Negele,Arsi Negele,arsi-negele,ET041703,7.452,38.652
ET041799,Arsi Negele town,Arsi Negele town,arsi-negele-town,ET041799,7.342,38.672
ET041707,Dodola,Dodola,dodola,ET041707,6.888,39.152
ET041700,Dodola town,Dodola town,dodola-town,ET041700,6.979,39.181
ET041706,Gedeb Asasa,Gedeb Asasa,gedeb-asasa,ET041706,7.183,39.172
ET041783,Heban Arsi,Heban Arsi,heban-arsi,ET041783,7.558,38.798
ET041704,Kofele,Kofele,kofele,ET041704,7.021,38.865
ET041713,Kofele town,Kofele town,kofele-town,ET041713,7.073,38.786
ET041708,Kokosa,Kokosa,kokosa,ET041708,6.791,38.81
ET041705,Kore,Kore,kore,ET041705,7.225,38.93
ET041709,Nenesebo,Nenesebo,nenesebo,ET041709,6.583,39.206
ET041702,Shala,Shala,shala,ET041702,7.351,38.398
ET041712,Shashemene,Shashemene,shashemene,ET041712,7.276,38.523
ET041711,Shashemene town,Shashemene town,shashemene-town,ET041711,7.185,38.544
ET041701,Siraro,Siraro,siraro,ET041701,7.129,38.19
ET041797,Wondo,Wondo,wondo,ET041797,7.079,38.673
