id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET070215,Ameka,Ameka,ameka,ET070215,7.789,37.788
ET070208,Analemmo,Analemmo,analemmo,ET070208,7.637,37.985
ET070207,Duna,Duna,duna,ET070207,7.34,37.663
ET070210,Gibe,Gibe,gibe,ET070210,7.741,37.668
ET070213,Gimbichu town,Gimbichu town,gimbichu-town,ET070213,7.448,37.625
ET070202,Gombora,Gombora,gombora,ET070202,7.586,37.621
ET070211,Hosaena town,Hosaena town,hosaena-town,ET070211,7.543,37.846
ET070214,Jajura town,Jajura town,jajura-town,ET070214,7.459,37.691
ET070203,Lemmo,Lemmo,lemmo,ET070203,7.535,37.914
ET070209,Mirab Badowach,Mirab Badowach,mirab-badowach,ET070209,7.134,37.816
ET070217,Mirab Soro,Mirab Soro,mirab-soro,ET070217,7.381,37.462
ET070201,Misha,Misha,misha,ET070201,7.676,37.813
ET070205,Misrak Badawacho,Misrak Badawacho,misrak-badawacho,ET070205,7.209,38.047
ET070204,Shashogo,Shashogo,shashogo,ET070204,7.5,38.034
ET070212,Shone town,Shone town,shone-town,ET070212,7.139,37.955
ET070216,Siraro Badawacho,Siraro Badawacho,siraro-badawacho,ET070216,7.114,38.039
ET070206,Soro,Soro,soro,ET070206,7.499,37.494
