id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET041513,Abaya,Abaya,abaya,ET041513,6.355,38.017
ET041596,Birbirsa Kojowa,Birbirsa Kojowa,birbirsa-kojowa,ET041596,5.734,38.57
ET041501,Bule Hora,Bule Hora,bule-hora,ET041501,5.649,38.316
ET041587,Bule Hora town,Bule Hora town,bule-hora-town,ET041587,5.643,38.233
ET041515,Dugda Dawa,Dugda Dawa,dugda-dawa,ET041515,5.398,38.127
ET041517,Gelana (West Guji),Gelana (West Guji),gelana-west-guji,ET041517,5.988,38.004
ET041509,Hambela Wamena,Hambela Wamena,hambela-wamena,ET041509,6.012,38.38
ET041502,Kercha,Kercha,kercha,ET041502,5.719,38.43
ET041503,Kercha town,Kercha town,kercha-town,ET041503,5.78,38.411
ET041518,Melka Soda,Melka Soda,melka-soda,ET041518,5.413,38.618
ET041594,Suro Berguda,Suro Berguda,suro-berguda,ET041594,5.555,38.054
