id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET130109,Abadir,Abadir,abadir,ET130109,9.31,42.123
ET130108,Aboker,Aboker,aboker,ET130108,9.342,42.112
ET130107,Amir Nur,Amir Nur,amir-nur,ET130107,9.308,42.176
ET130106,Dire Teyara,Dire Teyara,dire-teyara,ET130106,9.379,42.142
ET130105,Erer (HR),Erer (HR),erer-hr,ET130105,9.328,42.225
ET130104,Hakim,Hakim,hakim,ET130104,9.256,42.093
ET130103,Jinela,Jinela,jinela,ET130103,9.297,42.089
ET130102,Shenkor,Shenkor,shenkor,ET130102,9.344,42.149
ET130101,Sofi,Sofi,sofi,ET130101,9.258,42.191
