id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET031004,Artuma Fursi,Artuma Fursi,artuma-fursi,ET031004,10.545,40.011
ET031002,Bati,Bati,bati,ET031002,11.074,40.121
ET031099,Bati town,Bati town,bati-town,ET031099,11.192,40.015
ET031007,Chef Robit town,Chef Robit town,chef-robit-town,ET031007,10.551,39.934
ET031001,Dewa Cheffa,Dewa Cheffa,dewa-cheffa,ET031001,10.779,39.847
ET031005,Dewa Harewa,Dewa Harewa,dewa-harewa,ET031005,10.766,40.046
ET031003,Jilye Tumuga,Jilye Tumuga,jilye-tumuga,ET031003,10.26,40.051
ET031006,Kemisie town,Kemisie town,kemisie-town,ET031006,10.718,39.872
ET031008,Senbete town,Senbete town,senbete-town,ET031008,10.318,40.003
