id,name.local,name.en,name.slug,code.id,children_count.woreda,geo.lat,geo.lon
ET1103,Bench Sheko,Bench Sheko,bench-sheko,ET1103,10,6.928,35.363
ET1104,Dawuro,Dawuro,dawuro,ET1104,12,6.971,37.1
ET1102,Kefa,Kefa,kefa,ET1102,17,7.228,36.078
ET1106,Konta,Konta,konta,ET1106,5,6.871,36.609
ET1101,Sheka,Sheka,sheka,ET1101,5,7.538,35.413
ET1105,West Omo,West Omo,west-omo,ET1105,10,6.146,35.554
