id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET030805,Abergele (AM),Abergele (AM),abergele-am,ET030805,13.077,38.881
ET030809,Amde Work town,Amde Work town,amde-work-town,ET030809,12.43,38.716
ET030803,Dehana,Dehana,dehana,ET030803,12.446,38.548
ET030804,Gaz Gibla,Gaz Gibla,gaz-gibla,ET030804,12.337,39.07
ET030806,Sahila,Sahila,sahila,ET030806,12.936,38.498
ET030802,Sekota,Sekota,sekota,ET030802,12.666,38.889
ET030807,Sekota town,Sekota town,sekota-town,ET030807,12.618,39.036
ET030808,Tsagbeji,Tsagbeji,tsagbeji,ET030808,12.77,39.173
ET030801,Zequala,Zequala,zequala,ET030801,12.691,38.576
