id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET010111,Adi Daero,Adi Daero,adi-daero,ET010111,14.275,38.154
ET010105,Asgede,Asgede,asgede,ET010105,14.043,37.908
ET010114,Endabaguna town,Endabaguna town,endabaguna-town,ET010114,13.944,38.18
ET010109,Laelay Koraro,Laelay Koraro,laelay-koraro,ET010109,14.16,38.451
ET010112,Maekel Adiyabo,Maekel Adiyabo,maekel-adiyabo,ET010112,14.531,38.026
ET010110,Seyemti Adyabo,Seyemti Adyabo,seyemti-adyabo,ET010110,14.493,38.224
ET010107,Sheraro town,Sheraro town,sheraro-town,ET010107,14.408,37.784
ET010108,Shire Endaslasie town,Shire Endaslasie town,shire-endaslasie-town,ET010108,14.103,38.286
ET010101,Tahtay Adiyabo,Tahtay Adiyabo,tahtay-adiyabo,ET010101,14.307,37.684
ET010104,Tahtay Koraro,Tahtay Koraro,tahtay-koraro,ET010104,14.085,38.314
ET010113,Tsimbla,Tsimbla,tsimbla,ET010113,13.861,38.111
ET010103,Zana,Zana,zana,ET010103,13.869,38.438
