id,name.local,name.en,name.slug,code.id,children_count.woreda,geo.lat,geo.lon
ET0603,Assosa,Assosa,assosa,ET0603,11,10.225,34.712
ET0604,Kamashi,Kamashi,kamashi,ET0604,6,9.664,35.813
ET0605,Mao-komo Special,Mao-komo Special,mao-komo-special,ET0605,1,9.356,34.286
ET0602,Metekel,Metekel,metekel,ET0602,8,11.002,35.769
