id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET030101,Addi Arekay,Addi Arekay,addi-arekay,ET030101,13.377,37.979
ET030102,Beyeda,Beyeda,beyeda,ET030102,13.24,38.458
ET030105,Dabat,Dabat,dabat,ET030105,13.024,37.687
ET030106,Dabat town,Dabat town,dabat-town,ET030106,12.981,37.763
ET030104,Debark,Debark,debark,ET030104,13.231,37.804
ET030198,Debark town,Debark town,debark-town,ET030198,13.15,37.898
ET030103,Janamora,Janamora,janamora,ET030103,13.04,38.2
ET030119,Telemt,Telemt,telemt,ET030119,13.453,38.413
