id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET020308,Abida,Abida,abida,ET020308,10.132,40.816
ET020301,Amibara,Amibara,amibara,ET020301,9.237,40.259
ET020306,Arguba,Arguba,arguba,ET020306,9.455,39.905
ET020302,Awash Fantale,Awash Fantale,awash-fantale,ET020302,9.103,40.019
ET020396,Awash town,Awash town,awash-town,ET020396,8.994,40.147
ET020309,Borimodaytu,Borimodaytu,borimodaytu,ET020309,10.126,40.469
ET020304,Dulecha,Dulecha,dulecha,ET020304,9.486,40.059
ET020305,Gala'alu,Gala'alu,galaalu,ET020305,9.823,40.635
ET020303,Gewane,Gewane,gewane,ET020303,10.166,40.63
ET020307,Hanruka,Hanruka,hanruka,ET020307,9.557,40.459
ET020310,Werer,Werer,werer,ET020310,9.313,40.203
