id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET041904,Ababo,Ababo,ababo,ET041904,9.78,37.549
ET041905,Abay Chomen,Abay Chomen,abay-chomen,ET041905,9.634,37.282
ET041910,Abe Dongoro,Abe Dongoro,abe-dongoro,ET041910,9.6,36.835
ET041909,Amuru,Amuru,amuru,ET041909,10.121,37.008
ET041911,Choman Guduru,Choman Guduru,choman-guduru,ET041911,9.382,37.326
ET041903,Guduru,Guduru,guduru,ET041903,9.46,37.541
ET041901,Horo,Horo,horo,ET041901,9.592,37.15
ET041912,Horo Buluk,Horo Buluk,horo-buluk,ET041912,9.699,37.122
ET041908,Jarte Jardega,Jarte Jardega,jarte-jardega,ET041908,9.904,37.113
ET041906,Jimma Genete,Jimma Genete,jimma-genete,ET041906,9.388,37.142
ET041907,Jimma Rare,Jimma Rare,jimma-rare,ET041907,9.252,37.341
ET041902,Shambu town,Shambu town,shambu-town,ET041902,9.568,37.103
ET041913,Sulula Finca'a,Sulula Finca'a,sulula-fincaa,ET041913,9.815,37.375
