id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET040107,Ayira,Ayira,ayira,ET040107,9.131,35.312
ET040111,Babo,Babo,babo,ET040111,9.446,35.097
ET040116,Begi,Begi,begi,ET040116,9.361,34.52
ET040110,Boji Chekorsa,Boji Chekorsa,boji-chekorsa,ET040110,9.285,35.506
ET040106,Boji Dirmeji,Boji Dirmeji,boji-dirmeji,ET040106,9.401,35.634
ET040113,Gaji,Gaji,gaji,ET040113,9.037,35.596
ET040103,Gimbi,Gimbi,gimbi,ET040103,9.106,35.971
ET040193,Gimbi town,Gimbi town,gimbi-town,ET040193,9.174,35.83
ET040109,Gudetu Kondole,Gudetu Kondole,gudetu-kondole,ET040109,9.397,34.758
ET040119,Guliso,Guliso,guliso,ET040119,9.27,35.318
ET040114,Haru,Haru,haru,ET040114,8.981,35.856
ET040117,Homa,Homa,homa,ET040117,9.061,35.713
ET040108,Jarso (West Wellega),Jarso (West Wellega),jarso-west-wellega,ET040108,9.444,35.325
ET040105,Kiltu Kara,Kiltu Kara,kiltu-kara,ET040105,9.712,35.278
ET040104,Lalo Asabi,Lalo Asabi,lalo-asabi,ET040104,9.205,35.671
ET040197,Leta Sibu,Leta Sibu,leta-sibu,ET040197,9.597,35.347
ET040101,Mana Sibu,Mana Sibu,mana-sibu,ET040101,9.758,35.029
ET040198,Mendi town,Mendi town,mendi-town,ET040198,9.801,35.102
ET040102,Nejo,Nejo,nejo,ET040102,9.567,35.592
ET040199,Nejo town,Nejo town,nejo-town,ET040199,9.502,35.506
ET040115,Nole Kaba,Nole Kaba,nole-kaba,ET040115,8.805,35.785
ET040118,Sayo Nole,Sayo Nole,sayo-nole,ET040118,8.839,35.582
ET040112,Yubdo,Yubdo,yubdo,ET040112,8.974,35.458
