id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET040810,Amigna,Amigna,amigna,ET040810,7.958,40.187
ET040802,Aseko,Aseko,aseko,ET040802,8.531,40.06
ET040825,Asela town,Asela town,asela-town,ET040825,7.937,39.134
ET040823,Bele Gesgar,Bele Gesgar,bele-gesgar,ET040823,7.683,39.976
ET040894,Bokoji town,Bokoji town,bokoji-town,ET040894,7.529,39.248
ET040809,Chole,Chole,chole,ET040809,8.133,39.901
ET040815,Degeluna Tijo,Degeluna Tijo,degeluna-tijo,ET040815,7.75,39.307
ET040895,Dera town,Dera town,dera-town,ET040895,8.32,39.316
ET040822,Diksis,Diksis,diksis,ET040822,8.043,39.563
ET040805,Dodota,Dodota,dodota,ET040805,8.248,39.297
ET040803,Golocha,Golocha,golocha,ET040803,8.216,40.156
ET040819,Guna,Guna,guna,ET040819,8.329,39.913
ET040807,Hitosa,Hitosa,hitosa,ET040807,8.071,39.243
ET040824,Inkolo Wabe,Inkolo Wabe,inkolo-wabe,ET040824,7.424,39.447
ET040804,Jeju,Jeju,jeju,ET040804,8.359,39.657
ET040818,Limu Bilbilo,Limu Bilbilo,limu-bilbilo,ET040818,7.43,39.271
ET040821,Lude Hitosa,Lude Hitosa,lude-hitosa,ET040821,8.097,39.406
ET040801,Merti,Merti,merti,ET040801,8.529,39.839
ET040817,Munessa,Munessa,munessa,ET040817,7.525,38.983
ET040812,Robe,Robe,robe,ET040812,7.672,39.8
ET040811,Seru,Seru,seru,ET040811,7.724,40.346
ET040893,Shanan Kolu,Shanan Kolu,shanan-kolu,ET040893,8.45,40.235
ET040814,Shirka,Shirka,shirka,ET040814,7.571,39.577
ET040820,Sire,Sire,sire,ET040820,8.298,39.502
ET040808,Sude,Sude,sude,ET040808,8.011,39.81
ET040813,Tena,Tena,tena,ET040813,7.791,39.505
ET040816,Tiyo,Tiyo,tiyo,ET040816,7.861,39.132
ET040806,Ziway Dugda,Ziway Dugda,ziway-dugda,ET040806,8.009,38.975
