id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET031205,Adagn Ager Chaqo,Adagn Ager Chaqo,adagn-ager-chaqo,ET031205,12.607,36.788
ET031292,Gendawuha town,Gendawuha town,gendawuha-town,ET031292,12.777,36.408
ET031213,Metema,Metema,metema,ET031213,12.801,36.55
ET031224,Metema Yohanes town,Metema Yohanes town,metema-yohanes-town,ET031224,12.939,36.167
ET031223,Midre Genet,Midre Genet,midre-genet,ET031223,13.696,36.464
ET031206,Mirab Armacho,Mirab Armacho,mirab-armacho,ET031206,13.414,36.396
ET031214,Quara,Quara,quara,ET031214,12.262,35.88
