id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET041301,Ameya,Ameya,ameya,ET041301,8.558,37.695
ET041309,Becho (SW Shewa),Becho (SW Shewa),becho-sw-shewa,ET041309,8.659,38.245
ET041304,Dawo,Dawo,dawo,ET041304,8.772,38.109
ET041312,Goro (SW Shewa),Goro (SW Shewa),goro-sw-shewa,ET041312,8.411,37.853
ET041305,Ilu,Ilu,ilu,ET041305,8.822,38.335
ET041307,Kersana Malima,Kersana Malima,kersana-malima,ET041307,8.568,38.519
ET041306,Sebeta Hawas,Sebeta Hawas,sebeta-hawas,ET041306,8.752,38.583
ET041310,Seden Sodo,Seden Sodo,seden-sodo,ET041310,8.426,38.291
ET041314,Sodo Daci,Sodo Daci,sodo-daci,ET041314,8.479,38.651
ET041308,Tole,Tole,tole,ET041308,8.621,38.392
ET041303,Waliso,Waliso,waliso,ET041303,8.548,38.039
ET041302,Wenchi,Wenchi,wenchi,ET041302,8.672,37.888
ET041311,Woliso town,Woliso town,woliso-town,ET041311,8.542,37.978
