id,name.local,name.en,name.slug,code.id,children_count.woreda,geo.lat,geo.lon
ET1502,Dire Dawa rural,Dire Dawa rural,dire-dawa-rural,ET1502,4,9.562,42.034
ET1501,Dire Dawa urban,Dire Dawa urban,dire-dawa-urban,ET1501,9,9.624,41.836
