id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET020109,Adar,Adar,adar,ET020109,11.273,40.437
ET020104,Afambo,Afambo,afambo,ET020104,11.258,41.655
ET020103,Asayita,Asayita,asayita,ET020103,11.709,41.35
ET020111,Asayita town,Asayita town,asayita-town,ET020111,11.612,41.416
ET020106,Chifra,Chifra,chifra,ET020106,11.585,40.227
ET020113,Chifra town,Chifra town,chifra-town,ET020113,11.607,40.016
ET020101,Dubti,Dubti,dubti,ET020101,11.782,41.151
ET020107,Dubti town,Dubti town,dubti-town,ET020107,11.748,41.08
ET020102,Elidar,Elidar,elidar,ET020102,12.286,41.742
ET020108,Kori,Kori,kori,ET020108,12.442,40.98
ET020105,Mile,Mile,mile,ET020105,11.521,40.699
ET020112,Mile town,Mile town,mile-town,ET020112,11.422,40.763
ET020198,Samera Logiya town,Samera Logiya town,samera-logiya-town,ET020198,11.756,40.975
