id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET060303,Abrahmo,Abrahmo,abrahmo,ET060303,9.931,34.401
ET060309,Assosa town Admin,Assosa town Admin,assosa-town-admin,ET060309,10.057,34.54
ET060305,Bambasi,Bambasi,bambasi,ET060305,9.767,34.661
ET060310,Bambasi town,Bambasi town,bambasi-town,ET060310,9.758,34.731
ET060306,Bilidigilu,Bilidigilu,bilidigilu,ET060306,10.129,35.114
ET060307,Homosha,Homosha,homosha,ET060307,10.314,34.574
ET060302,Kurmuk,Kurmuk,kurmuk,ET060302,10.568,34.459
ET060301,Menge,Menge,menge,ET060301,10.393,34.842
ET060304,Sherkole,Sherkole,sherkole,ET060304,10.617,34.808
ET060308,Undulu,Undulu,undulu,ET060308,10.215,34.917
ET060311,Ura,Ura,ura,ET060311,10.105,34.653
