id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET110309,Biftu town,Biftu town,biftu-town,ET110309,6.858,35.339
ET110303,Debub Bench,Debub Bench,debub-bench,ET110303,6.869,35.517
ET110306,Gidi Bench,Gidi Bench,gidi-bench,ET110306,7.15,35.657
ET110302,Gurafereda,Gurafereda,gurafereda,ET110302,6.898,35.173
ET110307,Mizan Aman town,Mizan Aman town,mizan-aman-town,ET110307,6.951,35.552
ET110305,Semen Bench,Semen Bench,semen-bench,ET110305,7.033,35.641
ET110304,Shay Bench,Shay Bench,shay-bench,ET110304,6.903,35.752
ET110301,Sheko,Sheko,sheko,ET110301,7.093,35.545
ET110310,Sheko town,Sheko town,sheko-town,ET110310,7.044,35.493
ET110308,Size town,Size town,size-town,ET110308,6.957,35.77
