id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET030427,Akeseta town,Akeseta town,akeseta-town,ET030427,10.869,39.177
ET030408,Albuko,Albuko,albuko,ET030408,10.814,39.613
ET030404,Ambasel,Ambasel,ambasel,ET030404,11.502,39.495
ET030401,Argoba,Argoba,argoba,ET030401,10.941,39.97
ET030412,Borena /Debresina,Borena /Debresina,borena-debresina,ET030412,10.75,38.696
ET030425,Degolo town,Degolo town,degolo-town,ET030425,10.42,39.259
ET030406,Delanta,Delanta,delanta,ET030406,11.527,39.22
ET030418,Dessie town,Dessie town,dessie-town,ET030418,11.142,39.642
ET030409,Dessie Zuria,Dessie Zuria,dessie-zuria,ET030409,11.045,39.474
ET030428,Gimeba town,Gimeba town,gimeba-town,ET030428,10.983,39.269
ET030429,Harbu town,Harbu town,harbu-town,ET030429,10.922,39.783
ET030499,Hike town,Hike town,hike-town,ET030499,11.31,39.678
ET030414,Jama,Jama,jama,ET030414,10.444,39.331
ET030407,Kalu,Kalu,kalu,ET030407,11.074,39.835
ET030426,Kelala town,Kelala town,kelala-town,ET030426,10.587,38.997
ET030413,Kelela,Kelela,kelela,ET030413,10.541,38.984
ET030417,Kombolcha town,Kombolcha town,kombolcha-town,ET030417,11.096,39.721
ET030403,Kutaber,Kutaber,kutaber,ET030403,11.28,39.461
ET030410,Legambo,Legambo,legambo,ET030410,10.827,39.042
ET030420,Legehida,Legehida,legehida,ET030420,10.685,39.258
ET030419,Mehal Sayint,Mehal Sayint,mehal-sayint,ET030419,10.936,38.642
ET030498,Mekane Selam town,Mekane Selam town,mekane-selam-town,ET030498,10.753,38.774
ET030421,Mekdela,Mekdela,mekdela,ET030421,11.243,38.934
ET030411,Sayint,Sayint,sayint,ET030411,11.099,38.776
ET030402,Tenta,Tenta,tenta,ET030402,11.225,39.226
ET030405,Thehulederie,Thehulederie,thehulederie,ET030405,11.245,39.733
ET030416,Wegde,Wegde,wegde,ET030416,10.534,38.68
ET030430,Wegedi town,Wegedi town,wegedi-town,ET030430,10.592,38.764
ET030424,Wegel tena town,Wegel tena town,wegel-tena-town,ET030424,11.592,39.216
ET030415,Were Ilu,Were Ilu,were-ilu,ET030415,10.696,39.454
ET030423,Wereilu town,Wereilu town,wereilu-town,ET030423,10.593,39.437
ET030422,Worebabu,Worebabu,worebabu,ET030422,11.447,39.894
