id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET081104,Bule,Bule,bule,ET081104,6.284,38.394
ET081112,Chelelektu town,Chelelektu town,chelelektu-town,ET081112,6.006,38.154
ET081108,Churso,Churso,churso,ET081108,6.064,38.269
ET081109,Dila town,Dila town,dila-town,ET081109,6.41,38.301
ET081105,Dila Zuria,Dila Zuria,dila-zuria,ET081105,6.354,38.342
ET081106,Gedeb,Gedeb,gedeb,ET081106,5.921,38.345
ET081110,Gedeb town,Gedeb town,gedeb-town,ET081110,5.898,38.242
ET081103,Kochere,Kochere,kochere,ET081103,6.045,38.164
ET081107,Rape,Rape,rape,ET081107,6.186,38.338
ET081101,Wenago,Wenago,wenago,ET081101,6.282,38.258
ET081113,Wonago town,Wonago town,wonago-town,ET081113,6.318,38.258
ET081102,Yirgachefe,Yirgachefe,yirgachefe,ET081102,6.168,38.244
ET081111,Yirgachefe town,Yirgachefe town,yirgachefe-town,ET081111,6.159,38.204
