id,name.local,name.en,name.slug,code.id,children_count.woreda,geo.lat,geo.lon
ET0806,Alle Special,Alle Special,alle-special,ET0806,1,5.568,37.162
ET0805,Ari,Ari,ari,ET0805,6,5.932,36.527
ET0804,Basketo,Basketo,basketo,ET0804,2,6.282,36.56
ET0810,Burji,Burji,burji,ET0810,1,5.482,37.777
ET0807,Derashe,Derashe,derashe,ET0807,2,5.653,37.377
ET0802,Gamo,Gamo,gamo,ET0802,20,6.189,37.429
ET0811,Gedeo,Gedeo,gedeo,ET0811,13,6.144,38.272
ET0803,Gofa,Gofa,gofa,ET0803,11,6.368,36.858
ET0809,Konso,Konso,konso,ET0809,5,5.355,37.369
ET0808,Kore,Kore,kore,ET0808,2,5.788,37.815
ET0812,South Omo,South Omo,south-omo,ET0812,7,5.049,36.413
ET0801,Wolayita,Wolayita,wolayita,ET0801,23,6.863,37.724
