id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET080121,Abela Abaya,Abela Abaya,abela-abaya,ET080121,6.647,37.846
ET080114,Areka town,Areka town,areka-town,ET080114,7.066,37.706
ET080123,Bale Awassa town,Bale Awassa town,bale-awassa-town,ET080123,6.912,37.545
ET080122,Bayera Koyesha,Bayera Koyesha,bayera-koyesha,ET080122,6.814,37.615
ET080115,Boditi town,Boditi town,boditi-town,ET080115,6.953,37.862
ET080108,Boloso Bombe,Boloso Bombe,boloso-bombe,ET080108,7.108,37.553
ET080101,Boloso Sore,Boloso Sore,boloso-sore,ET080101,7.09,37.673
ET080102,Damot Gale,Damot Gale,damot-gale,ET080102,7.015,37.934
ET080111,Damot Pullasa,Damot Pullasa,damot-pullasa,ET080111,7.047,37.86
ET080109,Damot Sore,Damot Sore,damot-sore,ET080109,6.885,37.652
ET080103,Damot Woide,Damot Woide,damot-woide,ET080103,6.892,37.93
ET080112,Duguna Fango,Duguna Fango,duguna-fango,ET080112,6.921,38.05
ET080117,Gesuba town,Gesuba town,gesuba-town,ET080117,6.727,37.551
ET080118,Gununo Hamus town,Gununo Hamus town,gununo-hamus-town,ET080118,6.927,37.655
ET080119,Hobicha Abaya,Hobicha Abaya,hobicha-abaya,ET080119,6.705,37.952
ET080104,Humbo,Humbo,humbo,ET080104,6.686,37.718
ET080120,Kawo Koyesha,Kawo Koyesha,kawo-koyesha,ET080120,6.759,37.44
ET080110,Kindo Daddaye,Kindo Daddaye,kindo-daddaye,ET080110,6.78,37.329
ET080106,Kindo Koyesha,Kindo Koyesha,kindo-koyesha,ET080106,6.931,37.458
ET080107,Ofa,Ofa,ofa,ET080107,6.669,37.531
ET080113,Sodo town,Sodo town,sodo-town,ET080113,6.857,37.759
ET080105,Sodo Zuria,Sodo Zuria,sodo-zuria,ET080105,6.781,37.664
ET080116,Tebela town,Tebela town,tebela-town,ET080116,6.703,37.772
