id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET110509,Bachuma town,Bachuma town,bachuma-town,ET110509,6.816,35.896
ET110505,Bero,Bero,bero,ET110505,6.343,35.239
ET110501,Gachit,Gachit,gachit,ET110501,6.72,35.702
ET110503,Gori Gesha,Gori Gesha,gori-gesha,ET110503,6.559,35.387
ET110510,Jemu town,Jemu town,jemu-town,ET110510,6.641,35.787
ET110507,Maji,Maji,maji,ET110507,5.934,35.695
ET110511,Maji Tum town,Maji Tum town,maji-tum-town,ET110511,6.21,35.554
ET110502,Menit Goldiye,Menit Goldiye,menit-goldiye,ET110502,6.74,36.033
ET110504,Menit Shasha,Menit Shasha,menit-shasha,ET110504,6.465,35.863
ET110506,Surma,Surma,surma,ET110506,5.901,35.26
