id,name.local,name.en,name.slug,code.id,children_count.woreda,geo.lat,geo.lon
ET0508,Afder,Afder,afder,ET0508,9,5.322,42.298
ET0511,Daawa,Daawa,daawa,ET0511,4,4.214,39.979
ET0507,Doolo,Doolo,doolo,ET0507,7,7.237,46.114
ET0504,Erer,Erer,erer,ET0504,8,7.875,42.286
ET0502,Fafan,Fafan,fafan,ET0502,14,9.152,43.237
ET0503,Jarar,Jarar,jarar,ET0503,12,8.131,44.315
ET0505,Korahe,Korahe,korahe,ET0505,11,6.447,44.645
ET0509,Liban,Liban,liban,ET0509,6,4.916,40.914
ET0510,Nogob,Nogob,nogob,ET0510,7,7.133,42.985
ET0506,Shabelle,Shabelle,shabelle,ET0506,11,5.801,43.667
ET0501,Siti,Siti,siti,ET0501,11,10.25,41.834
