id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET040417,Agaro town,Agaro town,agaro-town,ET040417,7.856,36.597
ET040495,Botor Tolay,Botor Tolay,botor-tolay,ET040495,8.281,37.327
ET040415,Chora (Jimma),Chora (Jimma),chora-jimma,ET040415,8.277,37.082
ET040410,Dedo,Dedo,dedo,ET040410,7.439,36.84
ET040408,Gera,Gera,gera,ET040408,7.697,36.242
ET040407,Goma,Goma,goma,ET040407,7.81,36.505
ET040416,Gumay,Gumay,gumay,ET040416,7.971,36.431
ET040418,Jimma town,Jimma town,jimma-town,ET040418,7.664,36.83
ET040405,Kersa (Jimma),Kersa (Jimma),kersa-jimma,ET040405,7.778,37.033
ET040402,Limu Kosa,Limu Kosa,limu-kosa,ET040402,8.028,36.957
ET040401,Limu Seka,Limu Seka,limu-seka,ET040401,8.4,36.884
ET040490,Mancho,Mancho,mancho,ET040490,7.388,37.039
ET040406,Mena (Jimma),Mena (Jimma),mena-jimma,ET040406,7.781,36.76
ET040499,Nono Benja,Nono Benja,nono-benja,ET040499,8.668,37.089
ET040491,Omo Beyam,Omo Beyam,omo-beyam,ET040491,7.452,37.269
ET040411,Omo Nada,Omo Nada,omo-nada,ET040411,7.637,37.202
ET040409,Seka Chekorsa,Seka Chekorsa,seka-chekorsa,ET040409,7.537,36.705
ET040403,Sekoru,Sekoru,sekoru,ET040403,8.115,37.508
ET040413,Setema,Setema,setema,ET040413,8.064,36.215
ET040414,Shebe Sambo,Shebe Sambo,shebe-sambo,ET040414,7.518,36.462
ET040412,Sigmo,Sigmo,sigmo,ET040412,7.923,36.019
ET040404,Tiro Afeta,Tiro Afeta,tiro-afeta,ET040404,7.96,37.254
