id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET040906,Anchar,Anchar,anchar,ET040906,8.714,40.202
ET040914,Bedesa town,Bedesa town,bedesa-town,ET040914,8.905,40.775
ET040910,Boke,Boke,boke,ET040910,8.613,40.748
ET040998,Burqua Dhintu,Burqua Dhintu,burqua-dhintu,ET040998,8.306,41.14
ET040905,Chiro town,Chiro town,chiro-town,ET040905,9.079,40.867
ET040913,Chiro Zuria,Chiro Zuria,chiro-zuria,ET040913,9.057,40.739
ET040909,Daro Lebu,Daro Lebu,daro-lebu,ET040909,8.465,40.469
ET040902,Doba,Doba,doba,ET040902,9.327,41.08
ET040912,Gemechis,Gemechis,gemechis,ET040912,8.858,40.984
ET040907,Goba Koricha,Goba Koricha,goba-koricha,ET040907,8.97,40.612
ET040991,Gumbi Bordede,Gumbi Bordede,gumbi-bordede,ET040991,9.011,40.365
ET040908,Habro,Habro,habro,ET040908,8.754,40.512
ET040915,Hawi Gudina,Hawi Gudina,hawi-gudina,ET040915,8.129,40.705
ET040911,Kuni /Oda Bultum,Kuni /Oda Bultum,kuni-oda-bultum,ET040911,8.579,41.123
ET040904,Mesela /Shen Duggoo,Mesela /Shen Duggoo,mesela-shen-duggoo,ET040904,8.987,41.178
ET040901,Mieso,Mieso,mieso,ET040901,9.275,40.685
ET040903,Tulo (OR),Tulo (OR),tulo-or,ET040903,9.177,41.123
