id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET072001,Alicho Woriro,Alicho Woriro,alicho-woriro,ET072001,7.994,38.179
ET072005,Dalocha,Dalocha,dalocha,ET072005,7.765,38.28
ET072011,Kibet town,Kibet town,kibet-town,ET072011,8.019,38.327
ET072003,Lanfero,Lanfero,lanfero,ET072003,7.815,38.425
ET072004,Mierab Azenet Berbere,Mierab Azenet Berbere,mierab-azenet-berbere,ET072004,7.768,37.932
ET072007,Misrak Azenet Berbere,Misrak Azenet Berbere,misrak-azenet-berbere,ET072007,7.8,38.024
ET072013,Misrak Siltie,Misrak Siltie,misrak-siltie,ET072013,7.961,38.382
ET072012,Mito,Mito,mito,ET072012,7.726,38.403
ET072006,Sankura,Sankura,sankura,ET072006,7.547,38.169
ET072002,Siltie,Siltie,siltie,ET072002,7.946,38.271
ET072009,Tora town,Tora town,tora-town,ET072009,7.889,38.421
ET072010,Worabe town,Worabe town,worabe-town,ET072010,7.855,38.199
ET072008,Wulbareg,Wulbareg,wulbareg,ET072008,7.734,38.128
