id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET042001,Burayu,Burayu,burayu,ET042001,9.079,38.668
ET042002,Eka Tafo,Eka Tafo,eka-tafo,ET042002,9.113,38.874
ET042003,Furi,Furi,furi,ET042003,8.949,38.656
ET042004,Galan,Galan,galan,ET042004,8.827,38.74
ET042005,Galan Gudo,Galan Gudo,galan-gudo,ET042005,8.853,38.674
ET042006,Gefersa Guje,Gefersa Guje,gefersa-guje,ET042006,9.072,38.592
ET042007,Koye,Koye,koye,ET042007,8.896,38.91
ET042008,Kura Jida,Kura Jida,kura-jida,ET042008,9.046,38.96
ET042009,Mana Abichu,Mana Abichu,mana-abichu,ET042009,9.12,38.683
ET042010,Melka Nonno,Melka Nonno,melka-nonno,ET042010,9.022,38.639
ET042011,Sebeta,Sebeta,sebeta,ET042011,8.9,38.58
ET042012,Sululta,Sululta,sululta,ET042012,9.164,38.796
