id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET050699,Aba-Korow,Aba-Korow,aba-korow,ET050699,6.473,42.692
ET050602,Adadle,Adadle,adadle,ET050602,5.491,43.48
ET050608,Berocano,Berocano,berocano,ET050608,6.182,43.197
ET050603,Danan,Danan,danan,ET050603,6.581,43.486
ET050601,East Imi,East Imi,east-imi,ET050601,6.657,42.308
ET050698,Elale,Elale,elale,ET050698,6.156,43.94
ET050607,Ferfer,Ferfer,ferfer,ET050607,5.216,45.035
ET050604,Gode,Gode,gode,ET050604,5.904,43.783
ET050696,Godey town,Godey town,godey-town,ET050696,5.951,43.556
ET050605,Kelafo,Kelafo,kelafo,ET050605,5.362,44.152
ET050606,Mustahil,Mustahil,mustahil,ET050606,5.198,44.651
