id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ET041104,Agarfa,Agarfa,agarfa,ET041104,7.319,39.784
ET041114,Berbere,Berbere,berbere,ET041114,6.712,40.165
ET041122,Dinsho,Dinsho,dinsho,ET041122,7.077,39.771
ET041106,Gasera,Gasera,gasera,ET041106,7.382,40.153
ET041110,Goba (OR),Goba (OR),goba-or,ET041110,6.857,39.897
ET041120,Goba town,Goba town,goba-town,ET041120,7.024,39.973
ET041116,Goro (Bale),Goro (Bale),goro-bale,ET041116,6.993,40.493
ET041115,Gura Damole,Gura Damole,gura-damole,ET041115,6.294,40.573
ET041111,Harena Buluk,Harena Buluk,harena-buluk,ET041111,6.41,39.542
ET041112,Mena (Bale),Mena (Bale),mena-bale,ET041112,6.267,40.047
ET041119,Robe town,Robe town,robe-town,ET041119,7.125,40.025
ET041109,Sinana,Sinana,sinana,ET041109,7.128,40.129
